year,week_num,report_week_label,county_key,county_name,fips,cumul_positive_pools,cumul_avian,cumul_veterinary,cumul_sentinel_chk,cumul_wnv_fever,cumul_wnv_neuro,pools_tested,positive_pools,infection_rate,source,source_note,cumul_positive_pools_prev
2019,31,Week31,Dallas_TX,"Dallas County, TX",48113,2,2,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2019,32,Week32,Dallas_TX,"Dallas County, TX",48113,2,2,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2019,33,Week33,Dallas_TX,"Dallas County, TX",48113,3,3,0,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2019,34,Week34,Dallas_TX,"Dallas County, TX",48113,3,3,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,3
2019,35,Week35,Dallas_TX,"Dallas County, TX",48113,4,4,0,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,3
2019,36,Week36,Dallas_TX,"Dallas County, TX",48113,4,4,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,4
2019,37,Week37,Dallas_TX,"Dallas County, TX",48113,5,5,0,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,4
2019,38,Week38,Dallas_TX,"Dallas County, TX",48113,6,6,0,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,5
2019,39,Week39,Dallas_TX,"Dallas County, TX",48113,6,6,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,6
2019,40,Week40,Dallas_TX,"Dallas County, TX",48113,1,6,7,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,6
2019,41,Week41,Dallas_TX,"Dallas County, TX",48113,1,7,8,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,42,Week42,Dallas_TX,"Dallas County, TX",48113,1,7,8,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,43,Week43,Dallas_TX,"Dallas County, TX",48113,1,8,9,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,44,Week44,Dallas_TX,"Dallas County, TX",48113,1,9,10,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,45,Week45,Dallas_TX,"Dallas County, TX",48113,1,9,10,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,46,Week46,Dallas_TX,"Dallas County, TX",48113,1,9,10,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,47,Week47,Dallas_TX,"Dallas County, TX",48113,1,9,10,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,48,Week48,Dallas_TX,"Dallas County, TX",48113,2,9,11,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2019,49,Week49,Dallas_TX,"Dallas County, TX",48113,2,10,12,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2019,50,Week50,Dallas_TX,"Dallas County, TX",48113,2,11,13,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2019,51,Week51,Dallas_TX,"Dallas County, TX",48113,2,11,13,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2019,52,Week52,Dallas_TX,"Dallas County, TX",48113,2,11,13,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2020,16,Week16,Dallas_TX,"Dallas County, TX",48113,1,0,1,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,0
2020,17,Week17,Dallas_TX,"Dallas County, TX",48113,1,0,1,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2020,18,Week18,Dallas_TX,"Dallas County, TX",48113,1,0,1,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2020,19,Week19,Dallas_TX,"Dallas County, TX",48113,2,0,2,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2020,20,Week20,Dallas_TX,"Dallas County, TX",48113,2,0,2,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2020,21,Week21,Dallas_TX,"Dallas County, TX",48113,2,0,2,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2020,22,Week22,Dallas_TX,"Dallas County, TX",48113,2,0,2,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2020,23,Week23,Dallas_TX,"Dallas County, TX",48113,2,0,2,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2020,24,Week24,Dallas_TX,"Dallas County, TX",48113,7,0,7,0,0,0,,5,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2020,25,Week25,Dallas_TX,"Dallas County, TX",48113,10,0,10,0,0,0,,3,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,7
2020,26,Week26,Dallas_TX,"Dallas County, TX",48113,17,0,17,0,0,0,,7,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,10
2020,27,Week27,Dallas_TX,"Dallas County, TX",48113,17,0,17,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,17
2020,28,Week28,Dallas_TX,"Dallas County, TX",48113,27,0,27,0,0,0,,10,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,17
2020,29,Week29,Dallas_TX,"Dallas County, TX",48113,35,0,35,0,0,0,,8,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,27
2020,30,Week30,Dallas_TX,"Dallas County, TX",48113,68,0,68,0,0,0,,33,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,35
2020,31,Week31,Dallas_TX,"Dallas County, TX",48113,84,0,84,0,0,0,,16,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,68
2020,32,Week32,Dallas_TX,"Dallas County, TX",48113,167,1,2,1,168,0,,83,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,84
2020,33,Week33,Dallas_TX,"Dallas County, TX",48113,235,1,2,1,236,0,,68,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,167
2020,34,Week34,Dallas_TX,"Dallas County, TX",48113,294,1,3,1,295,0,,59,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,235
2020,35,Week35,Dallas_TX,"Dallas County, TX",48113,346,1,4,1,347,0,,52,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,294
2020,36,Week36,Dallas_TX,"Dallas County, TX",48113,374,1,4,1,375,0,,28,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,346
2020,37,Week37,Dallas_TX,"Dallas County, TX",48113,396,1,4,1,397,0,,22,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,374
2020,38,Week38,Dallas_TX,"Dallas County, TX",48113,398,5,4,5,403,0,,2,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,396
2020,39,Week39,Dallas_TX,"Dallas County, TX",48113,442,2,7,4,9,451,,44,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,398
2020,40,Week40,Dallas_TX,"Dallas County, TX",48113,450,4,10,4,14,464,,8,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,442
2020,41,Week41,Dallas_TX,"Dallas County, TX",48113,461,4,10,4,14,475,,11,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,450
2020,42,Week42,Dallas_TX,"Dallas County, TX",48113,470,4,10,4,14,484,,9,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,461
2020,43,Week43,Dallas_TX,"Dallas County, TX",48113,475,5,11,4,16,491,,5,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,470
2020,44,Week44,Dallas_TX,"Dallas County, TX",48113,478,5,11,4,16,494,,3,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,475
2020,45,Week45,Dallas_TX,"Dallas County, TX",48113,478,5,11,4,16,494,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,478
2020,46,Week46,Dallas_TX,"Dallas County, TX",48113,478,5,11,4,16,494,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,478
2020,47,Week47,Dallas_TX,"Dallas County, TX",48113,481,5,13,4,18,499,,3,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,478
2020,48,Week48,Dallas_TX,"Dallas County, TX",48113,481,5,13,4,18,499,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,481
2020,49,Week49,Dallas_TX,"Dallas County, TX",48113,481,5,13,4,18,499,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,481
2020,50,Week50,Dallas_TX,"Dallas County, TX",48113,481,5,13,4,18,499,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,481
